,Country Name,Country Code,Year,Life Expectancy
0,Afghanistan,AFG,1990,45.118
1,Albania,ALB,1990,72.71
2,Algeria,DZA,1990,67.658
3,American Samoa,ASM,1990,71.107
4,Andorra,AND,1990,78.961
5,Angola,AGO,1990,41.854
6,Antigua and Barbuda,ATG,1990,73.602
7,Argentina,ARG,1990,71.615
8,Armenia,ARM,1990,67.54936585
9,Aruba,ABW,1990,72.546
10,Australia,AUS,1990,76.99463415
11,Austria,AUT,1990,75.56829268
12,Azerbaijan,AZE,1990,62.75
13,"Bahamas, The",BHS,1990,70.945
14,Bahrain,BHR,1990,72.587
15,Bangladesh,BGD,1990,55.822
16,Barbados,BRB,1990,73.463
17,Belarus,BLR,1990,70.83658537
18,Belgium,BEL,1990,76.05195122
19,Belize,BLZ,1990,69.569
20,Benin,BEN,1990,53.02
21,Bermuda,BMU,1990,73.952
22,Bhutan,BTN,1990,55.811
23,Bolivia,BOL,1990,56.797
24,Bosnia and Herzegovina,BIH,1990,71.509
25,Botswana,BWA,1990,60.104
26,Brazil,BRA,1990,65.862
27,British Virgin Islands,VGB,1990,72.392
28,Brunei Darussalam,BRN,1990,71.629
29,Bulgaria,BGR,1990,71.64146341
30,Burkina Faso,BFA,1990,49.315
31,Burundi,BDI,1990,45.184
32,Cabo Verde,CPV,1990,63.869
33,Cambodia,KHM,1990,55.205
34,Cameroon,CMR,1990,54.348
35,Canada,CAN,1990,77.43658537
36,Cayman Islands,CYM,1990,72.744
37,Central African Republic,CAF,1990,49.854
38,Chad,TCD,1990,45.074
39,Channel Islands,CHI,1990,76.3
40,Chile,CHL,1990,73.675
41,China,CHN,1990,68.155
42,Colombia,COL,1990,68.701
43,Comoros,COM,1990,55.62
44,"Congo, Dem. Rep.",COD,1990,48.538
45,"Congo, Rep.",COG,1990,57.07
46,Costa Rica,CRI,1990,76.094
47,Cote d'Ivoire,CIV,1990,52.796
48,Croatia,HRV,1990,72.1704878
49,Cuba,CUB,1990,73.823
50,Curacao,CUW,1990,72.439
51,Cyprus,CYP,1990,76.044
52,Czechia,CZE,1990,71.38390244
53,Denmark,DNK,1990,74.80536585
54,Djibouti,DJI,1990,55.469
55,Dominica,DMA,1990,70.471
56,Dominican Republic,DOM,1990,67.746
57,Ecuador,ECU,1990,68.445
58,"Egypt, Arab Rep.",EGY,1990,62.513
59,El Salvador,SLV,1990,61.981
60,Equatorial Guinea,GNQ,1990,51.397
61,Eritrea,ERI,1990,49.733
62,Estonia,EST,1990,69.47560976
63,Eswatini,SWZ,1990,61.167
64,Ethiopia,ETH,1990,45.117
65,Faroe Islands,FRO,1990,76.11880244
66,Fiji,FJI,1990,65.056
67,Finland,FIN,1990,74.81317073
68,France,FRA,1990,76.6
69,French Polynesia,PYF,1990,73.908
70,Gabon,GAB,1990,60.736
71,"Gambia, The",GMB,1990,51.278
72,Georgia,GEO,1990,68.679
73,Germany,DEU,1990,75.08563415
74,Ghana,GHA,1990,55.395
75,Gibraltar,GIB,1990,76.814
76,Greece,GRC,1990,76.93902439
77,Greenland,GRL,1990,65.06829268
78,Grenada,GRD,1990,70.546
79,Guam,GUM,1990,73.455
80,Guatemala,GTM,1990,61.767
81,Guinea,GIN,1990,47.252
82,Guinea-Bissau,GNB,1990,46.89
83,Guyana,GUY,1990,62.254
84,Haiti,HTI,1990,53.215
85,Honduras,HND,1990,65.183
86,"Hong Kong SAR, China",HKG,1990,77.37073171
87,Hungary,HUN,1990,69.31560976
88,Iceland,ISL,1990,78.03634146
89,India,IND,1990,58.618
90,Indonesia,IDN,1990,63.249
91,"Iran, Islamic Rep.",IRN,1990,64.066
92,Iraq,IRQ,1990,57.587
93,Ireland,IRL,1990,74.84607317
94,Isle of Man,IMN,1990,71.8
95,Israel,ISR,1990,76.60731707
96,Italy,ITA,1990,76.97073171
97,Jamaica,JAM,1990,71.705
98,Japan,JPN,1990,78.83707317
99,Jordan,JOR,1990,70.094
100,Kazakhstan,KAZ,1990,65.701
101,Kenya,KEN,1990,58.334
102,Kiribati,KIR,1990,61.018
103,"Korea, Dem. People's Rep.",PRK,1990,70.484
104,"Korea, Rep.",KOR,1990,71.59756098
105,Kosovo,XKX,1990,66.508
106,Kuwait,KWT,1990,73.41714634
107,Kyrgyz Republic,KGZ,1990,68.29756098
108,Lao PDR,LAO,1990,54.035
109,Latvia,LVA,1990,69.27317073
110,Lebanon,LBN,1990,65.479
111,Lesotho,LSO,1990,59.317
112,Liberia,LBR,1990,37.644
113,Libya,LBY,1990,69.312
114,Liechtenstein,LIE,1990,78.33153659
115,Lithuania,LTU,1990,71.16073171
116,Luxembourg,LUX,1990,74.7754878
117,"Macao SAR, China",MAC,1990,76.39868293
